,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2356,0.2529,0.2092,0.2005,0.1028,0.1514,0.1318,0.2053,0.0492,0.0689,0.1488,0.1571,0.2608,0.2153,0.2325,0.0594,0.1446,0.2155,0.0784,0.0433,0.1658,0.1614,0.1674,0.0607,0.0535,0.0626,0.0715,0.0928,0.1079,0.1724,0.1716,0.1723,0.1729,0.1737,0.1673,0.1740,0.0763,0.0640,0.0633,0.0766,0.1205,0.0806,0.1012,0.1197
MD/add_sub_2op_verbal,0.2356,1.0000,0.2149,0.2684,0.1888,0.1114,0.1526,0.1362,0.1891,0.0557,0.0747,0.1526,0.1528,0.2107,0.2598,0.2096,0.0651,0.1455,0.2029,0.0879,0.0503,0.1655,0.1625,0.1703,0.0683,0.0633,0.0715,0.0811,0.1029,0.1159,0.1755,0.1727,0.1718,0.1707,0.1736,0.1668,0.1744,0.0785,0.0691,0.0678,0.0820,0.1154,0.0857,0.1004,0.1243
MD/add_sub_3op_symbolic,0.2529,0.2149,1.0000,0.2223,0.1902,0.1017,0.1506,0.1285,0.2025,0.0526,0.0708,0.1519,0.1538,0.2324,0.2102,0.2327,0.0584,0.1512,0.2028,0.0808,0.0423,0.1613,0.1584,0.1639,0.0635,0.0554,0.0648,0.0737,0.0947,0.1094,0.1737,0.1694,0.1680,0.1714,0.1695,0.1627,0.1736,0.0800,0.0669,0.0652,0.0810,0.1177,0.0847,0.1013,0.1194
MD/add_sub_3op_verbal,0.2092,0.2684,0.2223,1.0000,0.1841,0.1104,0.1511,0.1338,0.1895,0.0574,0.0762,0.1524,0.1520,0.2056,0.2320,0.2080,0.0635,0.1464,0.1975,0.0890,0.0516,0.1637,0.1623,0.1681,0.0704,0.0646,0.0735,0.0825,0.1033,0.1157,0.1744,0.1727,0.1694,0.1719,0.1752,0.1652,0.1711,0.0798,0.0682,0.0690,0.0827,0.1163,0.0868,0.1020,0.1233
MD/code_A,0.2005,0.1888,0.1902,0.1841,1.0000,0.1578,0.3805,0.1679,0.3858,0.0867,0.1039,0.1789,0.1609,0.1986,0.1892,0.1970,0.0690,0.1445,0.1923,0.0967,0.0548,0.1596,0.1625,0.1678,0.0742,0.0682,0.0785,0.0892,0.1372,0.1505,0.1679,0.1692,0.1657,0.1625,0.1691,0.1668,0.1634,0.0790,0.0652,0.0634,0.0780,0.1068,0.0860,0.0927,0.1245
MD/code_B,0.1028,0.1114,0.1017,0.1104,0.1578,1.0000,0.1827,0.3036,0.0951,0.1709,0.1756,0.1388,0.1261,0.0868,0.0993,0.0891,0.0994,0.1120,0.1112,0.1393,0.1059,0.1158,0.1175,0.1164,0.1171,0.1194,0.1269,0.1325,0.2143,0.2089,0.1029,0.1130,0.1056,0.0979,0.1016,0.1099,0.0974,0.0847,0.0823,0.0781,0.0885,0.0749,0.1040,0.0753,0.1236
MD/code_conditional,0.1514,0.1526,0.1506,0.1511,0.3805,0.1827,1.0000,0.1902,0.1423,0.1040,0.1186,0.1859,0.1585,0.1472,0.1495,0.1434,0.0651,0.1297,0.1424,0.1054,0.0638,0.1560,0.1575,0.1619,0.0815,0.0773,0.0890,0.0979,0.1555,0.1650,0.1545,0.1570,0.1543,0.1490,0.1602,0.1581,0.1508,0.0778,0.0698,0.0669,0.0819,0.1047,0.0916,0.0887,0.1271
MD/code_list,0.1318,0.1362,0.1285,0.1338,0.1679,0.3036,0.1902,1.0000,0.1196,0.1223,0.1304,0.1403,0.1406,0.1204,0.1289,0.1208,0.0811,0.1188,0.1286,0.1144,0.0847,0.1361,0.1351,0.1393,0.0950,0.0967,0.1035,0.1113,0.1802,0.1869,0.1335,0.1384,0.1357,0.1283,0.1295,0.1350,0.1320,0.0807,0.0786,0.0748,0.0867,0.0993,0.0931,0.0823,0.1289
MD/code_loop,0.2053,0.1891,0.2025,0.1895,0.3858,0.0951,0.1423,0.1196,1.0000,0.0513,0.0669,0.1445,0.1475,0.2207,0.2015,0.2243,0.0572,0.1433,0.2032,0.0713,0.0404,0.1513,0.1494,0.1577,0.0552,0.0493,0.0587,0.0659,0.0875,0.1016,0.1712,0.1632,0.1644,0.1670,0.1664,0.1561,0.1673,0.0788,0.0610,0.0603,0.0746,0.1158,0.0783,0.1010,0.1108
MD/logic_propositional_1,0.0492,0.0557,0.0526,0.0574,0.0867,0.1709,0.1040,0.1223,0.0513,1.0000,0.2368,0.1048,0.1103,0.0350,0.0427,0.0379,0.1196,0.0856,0.0678,0.1546,0.1380,0.0662,0.0731,0.0669,0.1405,0.1461,0.1482,0.1452,0.1923,0.1730,0.0489,0.0617,0.0513,0.0461,0.0522,0.0630,0.0420,0.0869,0.0838,0.0812,0.0843,0.0444,0.1079,0.0598,0.0857
MD/logic_propositional_symbolic,0.0689,0.0747,0.0708,0.0762,0.1039,0.1756,0.1186,0.1304,0.0669,0.2368,1.0000,0.1248,0.1086,0.0526,0.0609,0.0554,0.1197,0.1018,0.0889,0.1569,0.1338,0.0778,0.0886,0.0806,0.1384,0.1454,0.1513,0.1506,0.2072,0.1831,0.0644,0.0745,0.0645,0.0607,0.0683,0.0770,0.0580,0.0836,0.0845,0.0805,0.0843,0.0500,0.1099,0.0642,0.0924
MD/logic_syllogism_1,0.1488,0.1526,0.1519,0.1524,0.1789,0.1388,0.1859,0.1403,0.1445,0.1048,0.1248,1.0000,0.1485,0.1440,0.1494,0.1470,0.0688,0.1356,0.1486,0.1182,0.0701,0.1515,0.1603,0.1615,0.0909,0.0840,0.0964,0.1057,0.1391,0.1474,0.1499,0.1528,0.1498,0.1445,0.1515,0.1536,0.1436,0.0812,0.0713,0.0700,0.0832,0.0998,0.0963,0.0907,0.1212
MD/logic_syllogism_symbolic,0.1571,0.1528,0.1538,0.1520,0.1609,0.1261,0.1585,0.1406,0.1475,0.1103,0.1086,0.1485,1.0000,0.1566,0.1561,0.1535,0.0587,0.1283,0.1467,0.0930,0.0564,0.1543,0.1546,0.1569,0.0721,0.0683,0.0785,0.0864,0.1384,0.1406,0.1582,0.1566,0.1592,0.1584,0.1555,0.1560,0.1561,0.0756,0.0682,0.0655,0.0804,0.1121,0.0855,0.0921,0.1206
