,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.5871,0.6244,0.4525,0.3586,0.0136,0.0034,0.0023,0.3416,0.0000,0.0034,0.0045,0.0045,0.4921,0.3529,0.4559,0.0984,0.0045,0.5124,0.0023,0.0011,0.0023,0.0023,0.0011,0.0011,0.0000,0.0023,0.0011,0.0011,0.0011,0.0057,0.0023,0.0057,0.0023,0.0057,0.0068,0.0023,0.0000,0.0011,0.0011,0.0011,0.0000,0.0011,0.0000,0.0000
MD/add_sub_2op_verbal,0.5871,1.0000,0.4683,0.5758,0.2624,0.0396,0.0238,0.0271,0.2579,0.0000,0.0057,0.0079,0.0034,0.3416,0.4932,0.3326,0.0781,0.0057,0.3925,0.0011,0.0011,0.0170,0.0045,0.0113,0.0011,0.0023,0.0011,0.0023,0.0204,0.0215,0.0158,0.0147,0.0102,0.0158,0.0181,0.0124,0.0147,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011
MD/add_sub_3op_symbolic,0.6244,0.4683,1.0000,0.4717,0.3020,0.0090,0.0023,0.0023,0.3032,0.0000,0.0034,0.0034,0.0057,0.4400,0.3269,0.4480,0.0826,0.0079,0.4118,0.0000,0.0011,0.0011,0.0011,0.0023,0.0011,0.0011,0.0011,0.0023,0.0023,0.0023,0.0045,0.0011,0.0034,0.0034,0.0023,0.0034,0.0034,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011
MD/add_sub_3op_verbal,0.4525,0.5758,0.4717,1.0000,0.1912,0.0328,0.0215,0.0271,0.1968,0.0000,0.0045,0.0079,0.0057,0.2964,0.3971,0.2907,0.0532,0.0068,0.2964,0.0034,0.0000,0.0158,0.0136,0.0158,0.0023,0.0023,0.0034,0.0034,0.0170,0.0170,0.0113,0.0102,0.0079,0.0147,0.0124,0.0124,0.0124,0.0023,0.0023,0.0011,0.0011,0.0011,0.0000,0.0011,0.0011
MD/code_A,0.3586,0.2624,0.3020,0.1912,1.0000,0.1697,0.3382,0.1459,0.4672,0.0170,0.0271,0.0837,0.0362,0.3348,0.2658,0.3631,0.1199,0.0249,0.4095,0.0068,0.0057,0.0633,0.0566,0.0600,0.0045,0.0068,0.0045,0.0226,0.1244,0.1199,0.0509,0.0588,0.0407,0.0305,0.0611,0.0532,0.0396,0.0045,0.0000,0.0000,0.0011,0.0000,0.0011,0.0034,0.0079
MD/code_B,0.0136,0.0396,0.0090,0.0328,0.1697,1.0000,0.3326,0.6120,0.0124,0.0215,0.0430,0.0679,0.1018,0.0090,0.0396,0.0124,0.0158,0.0339,0.0124,0.0079,0.0079,0.1109,0.0973,0.1233,0.0034,0.0079,0.0102,0.0385,0.3699,0.3869,0.1007,0.1097,0.0735,0.0882,0.0724,0.1075,0.1007,0.0023,0.0057,0.0034,0.0023,0.0023,0.0023,0.0000,0.0249
MD/code_conditional,0.0034,0.0238,0.0023,0.0215,0.3382,0.3326,1.0000,0.3507,0.0057,0.0362,0.0430,0.1618,0.1029,0.0023,0.0204,0.0034,0.0023,0.0294,0.0023,0.0170,0.0102,0.1086,0.1414,0.1346,0.0124,0.0124,0.0147,0.0385,0.2353,0.2421,0.1029,0.1086,0.0803,0.0577,0.1120,0.1109,0.0814,0.0057,0.0011,0.0011,0.0000,0.0000,0.0034,0.0034,0.0351
MD/code_list,0.0023,0.0271,0.0023,0.0271,0.1459,0.6120,0.3507,1.0000,0.0045,0.0181,0.0192,0.0713,0.1063,0.0023,0.0294,0.0034,0.0034,0.0249,0.0011,0.0102,0.0068,0.1188,0.1109,0.1595,0.0023,0.0079,0.0181,0.0452,0.3835,0.4174,0.1143,0.1188,0.0962,0.0984,0.0781,0.1256,0.1097,0.0023,0.0057,0.0034,0.0034,0.0057,0.0011,0.0011,0.0294
MD/code_loop,0.3416,0.2579,0.3032,0.1968,0.4672,0.0124,0.0057,0.0045,1.0000,0.0000,0.0011,0.0045,0.0057,0.3903,0.2919,0.4152,0.1029,0.0068,0.4423,0.0023,0.0000,0.0068,0.0023,0.0011,0.0000,0.0000,0.0011,0.0023,0.0057,0.0034,0.0034,0.0057,0.0034,0.0023,0.0057,0.0057,0.0034,0.0045,0.0034,0.0011,0.0011,0.0011,0.0000,0.0000,0.0011
MD/logic_propositional_1,0.0000,0.0000,0.0000,0.0000,0.0170,0.0215,0.0362,0.0181,0.0000,1.0000,0.1606,0.0385,0.0713,0.0000,0.0000,0.0000,0.0011,0.0170,0.0000,0.0136,0.0057,0.0102,0.0181,0.0204,0.0090,0.0113,0.0102,0.0136,0.0905,0.0679,0.0090,0.0215,0.0068,0.0034,0.0124,0.0124,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,0.0000,0.0000
