,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.5393,0.5692,0.4257,0.3612,0.0181,0.0141,0.0107,0.3369,0.0006,0.0096,0.0107,0.0158,0.5127,0.3742,0.4686,0.0927,0.0136,0.5161,0.0040,0.0023,0.0147,0.0096,0.0130,0.0023,0.0051,0.0057,0.0079,0.0107,0.0107,0.0136,0.0130,0.0130,0.0090,0.0102,0.0136,0.0085,0.0034,0.0062,0.0028,0.0040,0.0023,0.0023,0.0028,0.0062
MD/add_sub_2op_verbal,0.5393,1.0000,0.4296,0.5229,0.2951,0.0656,0.0424,0.0599,0.2606,0.0017,0.0062,0.0209,0.0232,0.3754,0.4992,0.3505,0.0791,0.0124,0.4104,0.0034,0.0017,0.0475,0.0283,0.0294,0.0034,0.0045,0.0040,0.0096,0.0480,0.0464,0.0339,0.0373,0.0328,0.0339,0.0345,0.0367,0.0362,0.0068,0.0045,0.0028,0.0051,0.0017,0.0017,0.0040,0.0079
MD/add_sub_3op_symbolic,0.5692,0.4296,1.0000,0.4217,0.3036,0.0147,0.0113,0.0107,0.2900,0.0023,0.0079,0.0085,0.0124,0.4375,0.3324,0.4319,0.0786,0.0153,0.4251,0.0051,0.0023,0.0147,0.0073,0.0096,0.0028,0.0034,0.0034,0.0051,0.0136,0.0113,0.0107,0.0136,0.0079,0.0107,0.0079,0.0130,0.0079,0.0051,0.0051,0.0028,0.0017,0.0017,0.0028,0.0040,0.0062
MD/add_sub_3op_verbal,0.4257,0.5229,0.4217,1.0000,0.2436,0.0514,0.0362,0.0492,0.2154,0.0017,0.0068,0.0136,0.0164,0.3166,0.4025,0.3030,0.0582,0.0119,0.3279,0.0051,0.0040,0.0328,0.0362,0.0305,0.0040,0.0068,0.0045,0.0090,0.0362,0.0328,0.0305,0.0322,0.0311,0.0350,0.0328,0.0396,0.0328,0.0073,0.0062,0.0051,0.0034,0.0028,0.0017,0.0017,0.0051
MD/code_A,0.3612,0.2951,0.3036,0.2436,1.0000,0.1928,0.3590,0.1769,0.4115,0.0254,0.0334,0.0961,0.0537,0.3279,0.2793,0.3363,0.0989,0.0311,0.3657,0.0119,0.0051,0.0741,0.0774,0.0712,0.0057,0.0079,0.0079,0.0237,0.1588,0.1515,0.0695,0.0639,0.0548,0.0447,0.0791,0.0741,0.0571,0.0034,0.0017,0.0011,0.0017,0.0017,0.0017,0.0045,0.0204
MD/code_B,0.0181,0.0656,0.0147,0.0514,0.1928,1.0000,0.3098,0.5280,0.0170,0.0350,0.0475,0.0712,0.0978,0.0187,0.0605,0.0158,0.0164,0.0328,0.0266,0.0153,0.0102,0.1029,0.0944,0.1142,0.0051,0.0085,0.0153,0.0441,0.3352,0.3341,0.0899,0.0995,0.0831,0.0820,0.0797,0.0984,0.0888,0.0028,0.0051,0.0051,0.0068,0.0079,0.0028,0.0040,0.0435
MD/code_conditional,0.0141,0.0424,0.0113,0.0362,0.3590,0.3098,1.0000,0.3313,0.0113,0.0379,0.0480,0.1408,0.1012,0.0113,0.0401,0.0124,0.0051,0.0345,0.0090,0.0232,0.0090,0.1114,0.1351,0.1266,0.0119,0.0124,0.0147,0.0390,0.2448,0.2465,0.1063,0.1034,0.0882,0.0718,0.1159,0.1261,0.0797,0.0057,0.0057,0.0051,0.0068,0.0045,0.0057,0.0079,0.0492
MD/code_list,0.0107,0.0599,0.0107,0.0492,0.1769,0.5280,0.3313,1.0000,0.0107,0.0277,0.0220,0.0656,0.1221,0.0130,0.0514,0.0107,0.0090,0.0260,0.0119,0.0158,0.0119,0.1244,0.1204,0.1436,0.0034,0.0085,0.0187,0.0537,0.3629,0.3697,0.1198,0.1187,0.1102,0.0950,0.0814,0.1249,0.1125,0.0051,0.0079,0.0090,0.0096,0.0113,0.0034,0.0057,0.0543
MD/code_loop,0.3369,0.2606,0.2900,0.2154,0.4115,0.0170,0.0113,0.0107,1.0000,0.0006,0.0062,0.0073,0.0124,0.3612,0.2736,0.3748,0.0825,0.0124,0.3742,0.0028,0.0011,0.0136,0.0073,0.0045,0.0023,0.0017,0.0040,0.0034,0.0096,0.0079,0.0102,0.0124,0.0096,0.0113,0.0096,0.0113,0.0102,0.0057,0.0062,0.0051,0.0068,0.0040,0.0028,0.0045,0.0079
MD/logic_propositional_1,0.0006,0.0017,0.0023,0.0017,0.0254,0.0350,0.0379,0.0277,0.0006,1.0000,0.1532,0.0430,0.0695,0.0000,0.0000,0.0006,0.0051,0.0220,0.0000,0.0192,0.0107,0.0124,0.0198,0.0254,0.0096,0.0141,0.0124,0.0181,0.0848,0.0791,0.0090,0.0254,0.0107,0.0040,0.0124,0.0209,0.0057,0.0011,0.0006,0.0000,0.0000,0.0000,0.0107,0.0000,0.0034
