,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.3207,0.2866,0.2834,0.2691,0.0598,0.0258,0.0214,0.3833,0.0143,0.0206,0.0178,0.0270,0.4285,0.3119,0.3690,0.0832,0.3111,0.0186,0.0329,0.0170,0.0281,0.0333,0.0242,0.0206,0.0226,0.0139,0.0333,0.0254,0.0293,0.0349,0.0075,0.0075,0.0067,0.0032,0.0020,0.0052,0.0052,0.0067
MD/add_sub_2op_verbal,0.3207,1.0000,0.2358,0.4927,0.2509,0.1292,0.0785,0.0971,0.2969,0.0131,0.0170,0.0345,0.0143,0.3191,0.6389,0.2727,0.0733,0.2691,0.0166,0.0309,0.0250,0.0333,0.0234,0.0254,0.0281,0.0797,0.0757,0.0511,0.0345,0.0452,0.0424,0.0048,0.0071,0.0095,0.0052,0.0008,0.0059,0.0024,0.0143
MD/add_sub_3op_symbolic,0.2866,0.2358,1.0000,0.2243,0.2097,0.0555,0.0234,0.0198,0.2822,0.0186,0.0266,0.0262,0.0321,0.3103,0.2235,0.2985,0.0920,0.2477,0.0258,0.0519,0.0258,0.0317,0.0424,0.0329,0.0349,0.0226,0.0147,0.0436,0.0337,0.0325,0.0377,0.0091,0.0059,0.0079,0.0044,0.0008,0.0044,0.0075,0.0044
MD/add_sub_3op_verbal,0.2834,0.4927,0.2243,1.0000,0.2188,0.0924,0.0575,0.0499,0.2545,0.0226,0.0266,0.0377,0.0238,0.2640,0.4570,0.2331,0.0848,0.2386,0.0230,0.0373,0.0337,0.0380,0.0341,0.0301,0.0361,0.0499,0.0408,0.0484,0.0373,0.0420,0.0480,0.0075,0.0087,0.0095,0.0055,0.0032,0.0067,0.0024,0.0103
MD/code_A,0.2691,0.2509,0.2097,0.2188,1.0000,0.2767,0.5046,0.2069,0.3207,0.0365,0.0440,0.1023,0.0408,0.2656,0.2469,0.2430,0.0892,0.2267,0.0384,0.0305,0.0587,0.0630,0.0333,0.0329,0.0543,0.1819,0.1811,0.0602,0.0583,0.0575,0.0670,0.0075,0.0059,0.0052,0.0032,0.0036,0.0055,0.0079,0.0277
MD/code_B,0.0598,0.1292,0.0555,0.0924,0.2767,1.0000,0.3337,0.6084,0.0507,0.0238,0.0361,0.0598,0.0373,0.0583,0.1241,0.0488,0.0559,0.0452,0.0246,0.0293,0.0686,0.0630,0.0218,0.0317,0.0630,0.3555,0.3892,0.1034,0.0876,0.0892,0.1019,0.0115,0.0099,0.0115,0.0103,0.0095,0.0052,0.0036,0.0480
MD/code_conditional,0.0258,0.0785,0.0234,0.0575,0.5046,0.3337,1.0000,0.3115,0.0170,0.0460,0.0511,0.1431,0.0507,0.0258,0.0713,0.0218,0.0262,0.0214,0.0432,0.0194,0.0765,0.0757,0.0289,0.0365,0.0626,0.2604,0.2687,0.0658,0.0678,0.0583,0.0733,0.0052,0.0059,0.0059,0.0059,0.0071,0.0067,0.0059,0.0503
MD/code_list,0.0214,0.0971,0.0198,0.0499,0.2069,0.6084,0.3115,1.0000,0.0119,0.0254,0.0349,0.0543,0.0305,0.0218,0.0904,0.0182,0.0262,0.0139,0.0210,0.0254,0.0706,0.0575,0.0182,0.0309,0.0658,0.3714,0.4217,0.0967,0.0789,0.0820,0.0955,0.0127,0.0079,0.0087,0.0079,0.0107,0.0032,0.0059,0.0551
MD/code_loop,0.3833,0.2969,0.2822,0.2545,0.3207,0.0507,0.0170,0.0119,1.0000,0.0190,0.0190,0.0194,0.0285,0.3710,0.2913,0.3373,0.0816,0.3163,0.0159,0.0281,0.0163,0.0186,0.0254,0.0155,0.0178,0.0147,0.0087,0.0285,0.0230,0.0266,0.0250,0.0063,0.0075,0.0036,0.0024,0.0012,0.0040,0.0055,0.0059
MD/logic_propositional_1,0.0143,0.0131,0.0186,0.0226,0.0365,0.0238,0.0460,0.0254,0.0190,1.0000,0.1443,0.0602,0.1974,0.0206,0.0059,0.0166,0.0384,0.0230,0.0464,0.0329,0.0277,0.0222,0.0281,0.0400,0.0440,0.0983,0.0634,0.0262,0.0238,0.0214,0.0159,0.0008,0.0028,0.0036,0.0032,0.0004,0.0040,0.0012,0.0063
MD/logic_propositional_symbolic,0.0206,0.0170,0.0266,0.0266,0.0440,0.0361,0.0511,0.0349,0.0190,0.1443,1.0000,0.0741,0.1391,0.0234,0.0151,0.0210,0.0559,0.0258,0.0709,0.0400,0.0305,0.0365,0.0404,0.0460,0.0535,0.0864,0.0706,0.0476,0.0377,0.0313,0.0337,0.0008,0.0004,0.0008,0.0004,0.0004,0.0012,0.0016,0.0032
MD/logic_syllogism_1,0.0178,0.0345,0.0262,0.0377,0.1023,0.0598,0.1431,0.0543,0.0194,0.0602,0.0741,1.0000,0.0595,0.0190,0.0273,0.0151,0.0317,0.0222,0.0678,0.0380,0.0404,0.0400,0.0289,0.0515,0.0595,0.0840,0.0729,0.0377,0.0384,0.0273,0.0238,0.0040,0.0032,0.0020,0.0024,0.0032,0.0127,0.0040,0.0194
MD/logic_syllogism_symbolic,0.0270,0.0143,0.0321,0.0238,0.0408,0.0373,0.0507,0.0305,0.0285,0.1974,0.1391,0.0595,1.0000,0.0238,0.0071,0.0246,0.0412,0.0289,0.0373,0.0305,0.0321,0.0285,0.0305,0.0349,0.0416,0.0999,0.0733,0.0293,0.0242,0.0186,0.0246,0.0028,0.0004,0.0012,0.0004,0.0012,0.0024,0.0004,0.0063
MD/mul_div_2op_symbolic,0.4285,0.3191,0.3103,0.2640,0.2656,0.0583,0.0258,0.0218,0.3710,0.0206,0.0234,0.0190,0.0238,1.0000,0.3409,0.4273,0.0892,0.3064,0.0190,0.0404,0.0186,0.0250,0.0341,0.0254,0.0258,0.0277,0.0194,0.0369,0.0281,0.0345,0.0357,0.0059,0.0055,0.0040,0.0032,0.0016,0.0040,0.0055,0.0075
MD/mul_div_2op_verbal,0.3119,0.6389,0.2235,0.4570,0.2469,0.1241,0.0713,0.0904,0.2913,0.0059,0.0151,0.0273,0.0071,0.3409,1.0000,0.2881,0.0598,0.2616,0.0115,0.0210,0.0254,0.0309,0.0202,0.0166,0.0214,0.0733,0.0678,0.0511,0.0361,0.0424,0.0448,0.0052,0.0099,0.0107,0.0063,0.0028,0.0071,0.0044,0.0174
